,time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close,Year,Month,Day,Hour
6594,2019-01-04T00:00:00.0000000Z,2019-01-04T04:00:00.0000000Z,2019-01-04T00:01:00.0000000Z,2019-01-04T03:59:00.0000000Z,0.0022971622223734,0.0023162339500655,0.0022575881336717,0.0022968307854293,2019,1,4,0
6595,2019-01-04T04:00:00.0000000Z,2019-01-04T08:00:00.0000000Z,2019-01-04T04:00:00.0000000Z,2019-01-04T07:59:00.0000000Z,0.0022968842710967,0.0023313752497031,0.0022839154236286,0.002293896892505,2019,1,4,4
6596,2019-01-04T08:00:00.0000000Z,2019-01-04T12:00:00.0000000Z,2019-01-04T08:00:00.0000000Z,2019-01-04T11:59:00.0000000Z,0.0022950773418631,0.0023123009662696,0.0022216934066663,0.002231323103352,2019,1,4,8
6597,2019-01-04T12:00:00.0000000Z,2019-01-04T16:00:00.0000000Z,2019-01-04T12:00:00.0000000Z,2019-01-04T15:59:00.0000000Z,0.0022308379817302,0.0022370034978435,0.0021732085721508,0.0022138313887061,2019,1,4,12
6598,2019-01-04T16:00:00.0000000Z,2019-01-04T20:00:00.0000000Z,2019-01-04T16:00:00.0000000Z,2019-01-04T19:59:00.0000000Z,0.0022134305068337,0.0022400446151183,0.0021844441433737,0.0022025588093863,2019,1,4,16
6599,2019-01-04T20:00:00.0000000Z,2019-01-05T00:00:00.0000000Z,2019-01-04T20:00:00.0000000Z,2019-01-04T23:59:00.0000000Z,0.0022014322720841,0.002299751545584,0.0021989377968617,0.002269382687527,2019,1,4,20
6600,2019-01-05T00:00:00.0000000Z,2019-01-05T04:00:00.0000000Z,2019-01-05T00:01:00.0000000Z,2019-01-05T03:59:00.0000000Z,0.0022925996831831,0.0023115299949635,0.0022549226020018,0.0022799382306653,2019,1,5,0
6601,2019-01-05T04:00:00.0000000Z,2019-01-05T08:00:00.0000000Z,2019-01-05T04:00:00.0000000Z,2019-01-05T07:59:00.0000000Z,0.0022976615430066,0.0023175532021055,0.0022392606274398,0.0022392606274398,2019,1,5,4
6602,2019-01-05T08:00:00.0000000Z,2019-01-05T12:00:00.0000000Z,2019-01-05T08:00:00.0000000Z,2019-01-05T11:59:00.0000000Z,0.0022395494216987,0.0022723277624457,0.0022118126477735,0.0022677898576077,2019,1,5,8
6603,2019-01-05T12:00:00.0000000Z,2019-01-05T16:00:00.0000000Z,2019-01-05T12:00:00.0000000Z,2019-01-05T15:59:00.0000000Z,0.0022704657549836,0.0022727350119872,0.0022185926476301,0.0022608890415816,2019,1,5,12
6604,2019-01-05T16:00:00.0000000Z,2019-01-05T20:00:00.0000000Z,2019-01-05T16:00:00.0000000Z,2019-01-05T19:59:00.0000000Z,0.00225937797303,0.0022881621886018,0.0022240824600914,0.0022622445868363,2019,1,5,16
6605,2019-01-05T20:00:00.0000000Z,2019-01-06T00:00:00.0000000Z,2019-01-05T20:00:00.0000000Z,2019-01-05T23:59:00.0000000Z,0.0022624148429514,0.0022889804995315,0.0022240530195244,0.0022604065138913,2019,1,5,20
6606,2019-01-06T00:00:00.0000000Z,2019-01-06T04:00:00.0000000Z,2019-01-06T00:01:00.0000000Z,2019-01-06T03:59:00.0000000Z,0.0022575464458681,0.0022819982361137,0.0022211889375633,0.0022378915812093,2019,1,6,0
6607,2019-01-06T04:00:00.0000000Z,2019-01-06T08:00:00.0000000Z,2019-01-06T04:00:00.0000000Z,2019-01-06T07:59:00.0000000Z,0.0022428793495768,0.002248092046167,0.0022231462466755,0.0022295905326326,2019,1,6,4
6608,2019-01-06T08:00:00.0000000Z,2019-01-06T12:00:00.0000000Z,2019-01-06T08:00:00.0000000Z,2019-01-06T11:59:00.0000000Z,0.002229120231992,0.0022954990931473,0.0021988116430432,0.0022519883655233,2019,1,6,8
6609,2019-01-06T12:00:00.0000000Z,2019-01-06T16:00:00.0000000Z,2019-01-06T12:00:00.0000000Z,2019-01-06T15:59:00.0000000Z,0.002251133226897,0.0022705574706924,0.0022127625089239,0.0022456504491814,2019,1,6,12
6610,2019-01-06T16:00:00.0000000Z,2019-01-06T20:00:00.0000000Z,2019-01-06T16:00:00.0000000Z,2019-01-06T19:59:00.0000000Z,0.0022400088759187,0.0024040110871732,0.0022278787599065,0.0023115275913904,2019,1,6,16
6611,2019-01-06T20:00:00.0000000Z,2019-01-07T00:00:00.0000000Z,2019-01-06T20:00:00.0000000Z,2019-01-06T23:59:00.0000000Z,0.0023113039246937,0.0023263826864097,0.0022580651450634,0.0022887200143714,2019,1,6,20
6612,2019-01-07T00:00:00.0000000Z,2019-01-07T04:00:00.0000000Z,2019-01-07T00:01:00.0000000Z,2019-01-07T03:59:00.0000000Z,0.0022813585281184,0.0023184276442746,0.0022607286327786,0.0023006816678779,2019,1,7,0
6613,2019-01-07T04:00:00.0000000Z,2019-01-07T08:00:00.0000000Z,2019-01-07T04:00:00.0000000Z,2019-01-07T07:59:00.0000000Z,0.0023014379976203,0.0023014379976203,0.0022607626046225,0.0022748487713483,2019,1,7,4
6614,2019-01-07T08:00:00.0000000Z,2019-01-07T12:00:00.0000000Z,2019-01-07T08:00:00.0000000Z,2019-01-07T11:59:00.0000000Z,0.002277777520554,0.0023068483900426,0.0022299376007552,0.0022681745790197,2019,1,7,8
6615,2019-01-07T12:00:00.0000000Z,2019-01-07T16:00:00.0000000Z,2019-01-07T12:00:00.0000000Z,2019-01-07T15:59:00.0000000Z,0.0022686599981982,0.0022942258669129,0.0022429038004518,0.0022604582721368,2019,1,7,12
6616,2019-01-07T16:00:00.0000000Z,2019-01-07T20:00:00.0000000Z,2019-01-07T16:00:00.0000000Z,2019-01-07T19:59:00.0000000Z,0.0022604898790465,0.0022929659861441,0.0022471128515168,0.0022628208011486,2019,1,7,16
6617,2019-01-07T20:00:00.0000000Z,2019-01-08T00:00:00.0000000Z,2019-01-07T20:00:00.0000000Z,2019-01-07T23:59:00.0000000Z,0.0022622559763303,0.0022908556442443,0.0022323085710913,0.0022480305910625,2019,1,7,20
